date,tensorflow,pytorch,keras
2016-12-16,36060,18,9229
2016-12-17,36118,0,9257
2016-12-18,36174,0,9280
2016-12-19,36251,0,9306
2016-12-20,36337,19,9333
2016-12-21,36423,0,9353
2016-12-22,36506,0,9370
2016-12-23,36579,0,9387
2016-12-24,36632,20,9408
2016-12-25,36691,0,9423
2016-12-26,36772,0,9444
2016-12-27,36841,0,9469
2016-12-28,36936,0,9495
2016-12-29,37017,0,9525
2016-12-30,37092,0,9549
2016-12-31,37148,0,9562
2017-01-01,37198,0,9573
2017-01-02,37244,0,9606
2017-01-03,37319,0,9634
2017-01-04,37469,0,9679
2017-01-05,37633,0,9705
2017-01-06,37752,0,9746
2017-01-07,37828,0,9770
2017-01-08,37898,21,9792
2017-01-09,38002,0,9830
2017-01-10,38098,22,9869
2017-01-11,38241,23,9896
2017-01-12,38343,24,9922
2017-01-13,38445,25,9952
2017-01-14,38503,0,9968
2017-01-15,38558,0,9990
2017-01-16,38653,0,10031
2017-01-17,38763,28,10125
2017-01-18,38851,441,10173
2017-01-19,38949,1358,10215
2017-01-20,39016,1749,10239
2017-01-21,39070,1935,10254
2017-01-22,39126,2068,10285
2017-01-23,39211,2186,10321
2017-01-24,39305,2249,10348
2017-01-25,39395,2297,10379
2017-01-26,39468,2337,10407
2017-01-27,39545,2367,10426
2017-01-28,39608,2390,10441
2017-01-29,39655,2408,10462
2017-01-30,39719,2429,10482
2017-01-31,39788,2451,10496
2017-02-01,39862,2475,10521
2017-02-02,39923,2498,10544
2017-02-03,40036,2525,10569
2017-02-04,40112,2553,10590
2017-02-05,40183,2568,10615
2017-02-06,40281,2592,10633
2017-02-07,40421,2623,10659
2017-02-08,40545,2646,10686
2017-02-09,40665,2674,10723
2017-02-10,40780,2704,10758
2017-02-11,40839,2730,10781
2017-02-12,40906,2747,10811
2017-02-13,40999,2774,10841
2017-02-14,41100,2808,10867
2017-02-15,41293,2840,10897
2017-02-16,41837,2862,10948
2017-02-17,42146,2881,10983
2017-02-18,42306,2903,10999
2017-02-19,42448,2920,11025
2017-02-20,42639,2968,11057
2017-02-21,42801,2993,11107
2017-02-22,42975,3014,11142
2017-02-23,43142,3031,11174
2017-02-24,43289,3047,11202
2017-02-25,43358,3060,11225
2017-02-26,43419,3072,11254
2017-02-27,43541,3086,11288
2017-02-28,43666,3097,11318
2017-03-01,43787,3127,11355
2017-03-02,43931,3144,11385
2017-03-03,44057,3174,11417
2017-03-04,44132,3185,11447
2017-03-05,44203,3197,11465
2017-03-06,44310,3214,11499
2017-03-07,44433,3230,11530
2017-03-08,44544,3240,11564
2017-03-09,44672,3252,11601
2017-03-10,44846,3261,11621
2017-03-11,44959,3277,11638
2017-03-12,45081,3303,11663
2017-03-13,45254,3334,11699
2017-03-14,45424,3359,11753
2017-03-15,45565,3395,12053
2017-03-16,45690,3423,12150
2017-03-17,45806,3441,12206
2017-03-18,45887,3462,12229
2017-03-19,45968,3479,12252
2017-03-20,46086,3487,12292
2017-03-21,46209,3501,12325
2017-03-22,46343,3512,12370
2017-03-23,46456,3523,12408
2017-03-24,46557,3542,12435
2017-03-25,46631,3552,12460
2017-03-26,46704,3567,12490
2017-03-27,46811,3588,12529
2017-03-28,46928,3597,12575
2017-03-29,47051,3606,12608
2017-03-30,47173,3618,12648
2017-03-31,47296,3631,12682
2017-04-01,47384,3649,12712
2017-04-02,47432,3661,12742
2017-04-03,47500,3677,12776
2017-04-04,47583,3694,12813
2017-04-05,47687,3723,12863
2017-04-06,47823,3742,12901
2017-04-07,47958,3756,12947
2017-04-08,48043,3762,12975
2017-04-09,48126,3769,12996
2017-04-10,48257,3797,13030
2017-04-11,48384,3811,13073
2017-04-12,48487,3834,13107
2017-04-13,48597,3850,13141
2017-04-14,48693,3874,13174
2017-04-15,48755,3885,13207
2017-04-16,48812,3897,13226
2017-04-17,48910,3911,13252
